Entry requirements of this job:,Job description:,Jobs related to this code:,NS-SEC categorisations:,Tasks required by this job include:,This unit group is part of:,jobId,jobTitle
"Entrants usually possess GCSEs/S grades, a GNVQ/ GSVQ or a BTEC/SQA award. Apprenticeships in Engineering Maintenance at NVQ/SVQ Level 3 are available. NVQs/SVQs in Aircraft Engineering Maintenance are available at Level 3.","Jobholders in this unit group fit, service, repair and overhaul aircraft engines and assemblies. Licensed aircraft engineers are coded to UNIT GROUP 3113.",Aeronautical engineerAircraft electricianAircraft engineerAircraft fitterAircraft mechanicMaintenance engineer (aircraft),"The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings, manuals and specifications to determine appropriate methods and sequence of operations;fits and assembles parts and/or metal sub-assemblies to fine tolerances to make aircraft engines;replaces engine components or complete engines, installs and tests electrical and electronic components and systems in aircraft;examines and inspects airframes and aircraft components, including landing gear, hydraulic systems, and deicers to detect wear, cracks, breaks, leaks, or other problems;maintains, repairs and rebuilds aircraft structures, functional components, and parts;maintains comprehensive repair logs.","Minor Group 523: VEHICLE TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5235, AIRCRAFT MAINTENANCE AND RELATED TRADES
"Entrants with GCSEs/S grades and A levels/H grades, an Advanced GNVQ/GSVQ Level III or a BTEC/ SQA award can apply for an airline sponsorship. Private residential training is available to candidates with GCSEs/S grades or appropriate BTEC/SQA or GNVQ/GSVQ awards or to holders of Private Pilots Licences who have 700 hours flying experience. Normal colour vision is required and candidates undergo a medical examination. Training lasts up to 15 months and consists of courses of study and flying instruction. Airlines may have additional age and height requirements.","Aircraft flight deck officers check, regulate, adjust and test engines and other equipment prior to take-off, navigate and pilot aircraft and give flying lessons.",Airline pilotFirst officer (airlines)Flight engineerFlying instructorHelicopter pilot,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","studies flight plan, discusses it with flight deck crew and makes any necessary adjustmentsdirects or undertakes routine checks on engines, instruments, control panels, cargo distribution and fuel supplies;directs or undertakes the operation of controls to fly aeroplanes and helicopters, complying with air traffic control and aircraft operating procedures;monitors fuel consumption, air pressure, engine performance and other indicators during flight and advises pilot of any factors that affect the navigation or performance of the aircraft;maintains radio contact and discusses weather conditions with air traffic controllers;performs specified tests to determine aircraft�s stability, response to controls and overall performance;accompanies pupil on training flights and demonstrates flying techniques.",Minor Group 351: TRANSPORT ASSOCIATE PROFESSIONALSSub-Major Group 35: BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,3512, AIRCRAFT PILOTS AND FLIGHT ENGINEERS
Academic qualifications are not normally required. Entry requirements vary between ambulance services. Entrants must normally have possessed a full clean driving licence for one to two years and have health clearance. Entrants undertake a minimum of 2 weeks training in first aid and patient care. Successful trainees are then attached to an ambulance station where they work under the guidance of a trained supervisor for a probationary period before working unsupervised.,"Ambulance staff transport sick, injured and convalescent persons and give first aid treatment in emergencies.",Ambulance care assistantAmbulance driverAmbulance technicianEmergency medical technician,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.",helps patients into and out of ambulance;drives ambulance or accompanies driver to transport patients to hospitals or other treatment centres and homes;ascertains nature of injuries and provides first aid treatment;cleans and disinfects ambulance after use and carries out routine care of ambulance equipment;replenishes medical supplies in ambulance as necessary.,"Minor Group 614: CARING PERSONAL SERVICESSub-Major Group 61: CARING PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6142, AMBULANCE STAFF (EXCLUDING PARAMEDICS)
"Entry is possible without formal academic qualifications, although some employers may ask for GCSEs/S grades. There is a variety of vocational qualifications available, including NVQs/SVQs in Animal Care at Levels 1 and 2, in Dog Grooming at Levels 2 and 3, and BTEC qualifications and apprenticeships relating to Horse Care.","Workers in this unit group care for animals held in kennels, stables, zoos and similar establishments, provide specialised training, grooming, clipping and trimming services for animals, and searches for and captures stray or nuisance dogs in public areas and perform a variety of animal care tasks not elsewhere classified in MINOR GROUP 613: Animal Care and Control Services.",Animal technicianCanine beauticianGroomKennel assistantKennel maidStable hand,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.5To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","feeds, washes, grooms, trims and exercises animals;cleans animals� quarters and renews bedding as necessary;houses, feeds, exercises, trains, grooms horses, dogs and other animals in preparation for entry to shows, races and other events;checks animals for illness, treats minor ailments or calls for vet if further treatment is required;meets prospective owners and advises on animal selection and animal care;patrols public areas to search for and capture stray or nuisance dogs, and transports captured animals to kennels.","Minor Group 613: ANIMAL CARE AND CONTROL SERVICESSub-Major Group 61: CARING PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6139, ANIMAL CARE SERVICES OCCUPATIONS N.E.C.
"Entrants require a professional qualification in architecture that will encompass an accredited degree and postgraduate qualification, and at least two years practical experience.",Architects plan and design the construction and development of buildings and land areas with regard to functional and aesthetic requirements.,ArchitectArchitectural consultantChartered architectLandscape architect,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","liaises with client and other professionals to establish building type, style, cost limitations and landscaping requirements;studies condition and characteristics of site, taking into account drainage, topsoil, trees, rock formations, etc.;analyses site survey and advises client on development and construction details and ensures that proposed design blends in with the surrounding area;prepares detailed scale drawings and specifications for design�and construction and submits these for planning approval;monitors construction work in progress to ensure compliance with specifications.","Minor Group 243: ARCHITECTS, TOWN PLANNERS AND SURVEYORSSub-Major Group 24: BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2431, ARCHITECTS
"Entrants possess a variety of qualifications including GCSEs/S grades, a BTEC/SQA award, an Advanced GNVQ/GSVQ Level III or a degree. Professional qualifications are available and membership to professional institutions may be required for some posts.",Architectural and town planning technicians perform a variety of technical support functions to assist architects and planners with the design of buildings and the layout of urban and rural areas.,Architectural assistantArchitectural technicianConstruction plannerPlanning enforcement officer,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","investigates proposed design with regard to practicality, cost and use;prepares building plans, drawings and specifications for use by contractorsliaises with engineers and building contractors regarding technical construction problems and attends site meetings on behalf of architect;surveys land and property uses and prepares report for planning authority;issues development permits as authorised;checks that completed work conforms to specifications.","Minor Group 312: DRAUGHTSPERSONS AND RELATED ARCHITECTURAL TECHNICIANSSub-Major Group 31: SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3121, ARCHITECTURAL AND TOWN PLANNING TECHNICIANS
"Entrants require a good first degree in order to gain entry to a relevant postgraduate course. Many postgraduate courses also require applicants to have gained relevant practical experience prior to entry. Training is typically received on-the-job. Professional qualifications leading to NVQs/SVQs in relevant areas at Levels 3, 4 and 5 are available.","Archivists and curators collect, appraise and preserve collections of recorded and other material of historical interest.",ArchivistConservatorCuratorKeeper (art galley)Museum officer,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines, appraises and advises on the acquisition of exhibits, historic records, government papers and other material;classifies material and arranges for its safe keeping and preservation;maintains indexes, bibliographies and descriptive details of archive material and arranges for reproductions of items where necessary;examines objects to identify any damage and carries out necessary restoration whilst preserving original characteristics;makes sure that storage and display conditions protect objects from deterioration and damage;allows access to original material or material not on display for researchers;develops and promotes ideas for exhibitions and displays;negotiates loans of material for specialist displays;liaises with school and other groups or individuals, publicises exhibits and arranges special displays for general, specialised or educational interest;answers verbal or written enquiries and gives advice on exhibits or other material.","Minor Group 245: LIBRARIANS AND RELATED PROFESSIONALSSub-Major Group 24: BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2452, ARCHIVISTS AND CURATORS
"No specific academic qualifications are required although a variety of vocational qualifications, degrees and postgraduate courses are available. Entry can be based upon portfolio work.","Artists create artistic works using appropriate techniques, materials and media; design artwork and illustrations; and restore damaged pieces of art.",ArtistIllustratorPortrait painterSculptor,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","conceives and develops ideas and ways of working for artistic composition;selects appropriate materials, medium and method;prepares sketches, scale drawings or colour schemes;builds up composition into finished work by carving, sculpting, etching, painting, engraving, drawing, etc.;approaches managers of galleries and exhibitions in order to get finished work displayed;uses artistic skills to restore damaged artworks;liaises with writers and publishers to produce book illustrations;markets and sells finished work directly to customers;produces works on commission basis for clients.","Minor Group 341: ARTISTIC, LITERARY AND MEDIA OCCUPATIONSSub-Major Group 34: CULTURE, MEDIA AND SPORTS OCCUPATIONSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3411, ARTISTS
"Entry can be via academic qualifications, BTEC/SQA awards, diplomas or degrees in sector-relevant subjects. Apprenticeships are available at NVQ Levels 2 and 3 in some areas.","Arts officers, producers and directors assume creative, financial and organisational responsibilities in the production and direction of television and radio programmes, films, stage presentations, content for other media, and the promotion and exhibition of other creative activities.",Film editorProduction assistant (broadcasting)Studio managerTelevision producerTheatrical agent,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","chooses writers, scripts, technical staff and performers, and assumes overall responsibility for completion of project on time and within budget;directs actors, designers, camera team, sound crew and other production and technical staff to achieve desired effects;breaks script into scenes and formulates a shooting schedule that will be most economical in terms of time, location and sets;prepares rehearsal and production schedule for main events, design of sets and costumes, technical rehearsals and dress rehearsals;ensures necessary equipment, props, performers and technical staff are on set when required;manages health and safety issues;selects, contracts, markets and arranges for the presentation and/or distribution of performance, visual and heritage arts.","Minor Group 341: ARTISTIC, LITERARY AND MEDIA OCCUPATIONSSub-Major Group 34: CULTURE, MEDIA AND SPORTS OCCUPATIONSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3416," ARTS OFFICERS, PRODUCERS AND DIRECTORS"
"There are no formal academic entry requirements. Training is typically provided on-the-job, supplemented by short courses. NVQs/SVQs in Electronic Product Assembly are available at Level�1.","Jobholders in this unit group wire up prepared parts and/or sub-assemblies in the manufacture of electrical and electronic equipment, make coils and wiring harnesses and assemble previously prepared parts in the batch or mass production of electrical and electronic goods and components.","Assembler (electrical, electronic equipment mfr)Line operator (electrical)SoldererTeam leader (electrical, electronic equipment mfr: assembly)Technical operator (circuit board mfr)","The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings, specifications and wiring diagrams to identify appropriate materials and sequence of operations;selects, cuts and connects wire to appropriate terminals by crimping or soldering;positions and secures switches, transformers, tags, valve holders or other parts and connects capacitors, resistors, transistors or sub-assemblies to appropriate terminals by soldering;lays out and secures wire to make harnesses and operates machine to wind heavy and light coils of wire or copper for transformers, armatures, rotors, stators and light electrical equipment;assembles previously prepared electrical or electronic components by winding, bolting, screwing or otherwise fastening using an assembly machine or hand tools.","Minor Group 813: ASSEMBLERS AND ROUTINE OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8131, ASSEMBLERS (ELECTRICAL AND ELECTRONIC PRODUCTS)
No academic qualifications are required. In some cases candidates must take aptitude and dexterity tests. Normal colour vision is required for some jobs. Training varies according to the complexity of the work.,"Jobholders in this unit group undertake the routine assembly of vehicles and other metal goods or components such as frames, axles, wire brushes and wheels.",Assembler (metal trades)Lineworker (vehicle mfr)Manufacturing operator (metal trades)Process worker (metal trades: assembly)Team leader (motor vehicle mfr: assembly),"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","�����follows instructions and drawings and positions components on work bench or in assembly machine;�����assembles prepared components in sequence by soldering, bolting, fastening, spot-welding, screwing and hammering using power and hand tools or assembly machine;�����rejects faulty assembly components;�����inspects finished article for faults, monitors assembly machine operation and reports any faults.","Minor Group 813: ASSEMBLERS AND ROUTINE OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8132, ASSEMBLERS (VEHICLES AND METAL GOODS)
"There are no formal academic entry requirements, though some employers may require GCSEs/S grades. Some employers may set dexterity and aptitude tests for entrants. Normal colour vision may be required for some posts. NVQs/SVQs at Levels 1, 2 and 3 are available in a variety of areas.",Jobholders in this unit group perform assembly and routine operative tasks not elsewhere classified in MINOR GROUP 813: Assemblers and Routine Operatives.,AssemblerGluer (furniture mfr)Paint line operatorProduction assistantRiveter (soft toy mfr),"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","follows instructions and drawings and positions components on work bench or in assembly machine;assembles prepared components in sequence by soldering, bolting, fastening, spot-welding, screwing, nailing, stapling, dipping and fastening using power and hand tools or assembly machine;rejects faulty assembly components, inspects finished article for faults, monitors assembly machine operation and reports any faults;applies enamel to jewellery and coats, lacquers, dips and touches up articles (other than ceramic);sets up and operates machines to apply colour to wallpaper and to coat articles (other than ceramic) with paint, cellulose or other protective/ decorative material;performs miscellaneous painting and coating tasks not elsewhere classified including, staining articles, applying transfers, operating french polishing machines, removing surplus enamel from components and marking design outlines on articles.","Minor Group 813: ASSEMBLERS AND ROUTINE OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8139, ASSEMBLERS AND ROUTINE OPERATIVES N.E.C.
Entry is possible with a variety of academic qualifications and/or relevant experience. Postgraduate and professional qualifications are available and are required for some occupations.,"Job holders in this unit group write, edit and evaluate literary material for publication excluding material for newspapers, magazines and other periodicals but including scripts and narrative for film, TV, radio and computer games and animations; and translate spoken and written statements into different languages.",CopywriterEditor (books)InterpreterTechnical authorTranslatorWriter,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","determines subject matter and researches as necessary by interviewing, attending public events, seeking out records, observing etc.;generates and develops creative ideas for literary material;selects material for publication, checks style, grammar and accuracy of content, arranges for any necessary revisions and checks proof copies before printing;negotiates contracts with freelance agents and with buyer on behalf of writer;writes instruction manuals and user guides, technical reports, catalogues and indexes, prepares sales literature and writes technical articles for trade journalsconverts documents or spoken statements from original or source language into another language;provides communication support for the hard of hearing or the visually impaired","Minor Group 341: ARTISTIC, LITERARY AND MEDIA OCCUPATIONSSub-Major Group 34: CULTURE, MEDIA AND SPORTS OCCUPATIONSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3412," AUTHORS, WRITERS AND TRANSLATORS"
