X,jobTitle
entrant usually posse relevant btecsqa award advanced gnvqgsvq level iii status engineering technician obtained period training work gaining membership professional engineering institution building civil engineering technician perform variety technical support function assist civil building engineers building service consultant civil engineering technician survey technician technical assistant civil engineering set apparatus equipment undertakes field laboratory test soil work material performs calculation collect record interprets data set construction site supervises excavation mark position building work undertaken inspects construction material supervises work contractor ensure compliance specification arranges remedial work necessary minor group science engineering production technician sub major group science engineering technology associate professional major group associate professional technical occupation, BUILDING AND CIVIL ENGINEERING TECHNICIANS
formal academic requirement employer expect levelsh grade btecsqa award degrees employer ask specific experience particular role professional qualification nvqssvqs procurement level available buyer procurement officer organise undertake buying raw material equipment merchandise manufacturer importer wholesaler source wholesale distribution resale internal use buyer procurement officer purchasing consultant attends trade fair demonstration research new product line supplier check catalogue market trend chooses productsservices ass budgetary limitation customer requirement decides quantity type range quality good service bought ass bid supplier find supplier negotiates price help negotiate contract supplier specifies detail good service required look way improve supply network present new idea senior management team ensures delivered item comply order monitor quality incoming good return unsatisfactory faulty item monitor performance sure target met supervises clerical administrative warehouse distribution staff deal recruitment training work closely merchandiser allocate stock develop sale forecast maintains record prepares report necessary minor group sale marketing related associate professional sub major group business public service associate professional major group associate professional technical occupation, BUYERS AND PROCUREMENT OFFICERS
entrant posse degree approved diploma equivalent qualification professional training qualification career guidance consists oneyear fulltime course followed oneyear probationary period onthejob training nvqssvqs advice guidance level available working young people vulnerable adult require crb clearance job holder unit group advice career occupation training course related matter direct school leaver job seeker employment ass progress career adviser career consultant career teacher placement officer interview questionnaire andor psychological test determine aptitude preference temperament client advises appropriate course study avenue employment visit educational establishment talk distribute information career liaises employer determine employment opportunity advises school college individual accordingly organises career forum exhibition establishes maintains contact local employer college training provider monitor progress welfare young people employment advises difficulties minor group public service associate professional sub major group business public service associate professional major group associate professional technical occupation, CAREERS ADVISERS AND VOCATIONAL GUIDANCE SPECIALISTS
formal academic entry requirement gcsess grade advantageous entry typically apprenticeship traineeship approved constructionskills leading nvqsvq general construction level carpenter joiner construct erect install repair wooden structure fitting internal external framework cut shape fit assemble wood makeï¿½templates jig scale model scenic equipment theatres carpenter carpenter joiner joiner kitchen fitter shop fitter examines drawing specification determine job requirement selects measure appropriate wood cut shape drill specification saw plane chisel power hand tool aligns fix prepared wood piece screwing nailing gluing dowelling form frame shop counter unit decking theatrical set furniture small wooden craft scale model wooden template check accuracy work square rule spirit level maintains repair woodwork fittings minor group construction building trade sub major group skilled construction building trade major group skilled trade occupation, CARPENTERS AND JOINERS
chartered status requires accredited degree membership chartered institute architectural technologists professional practice entail structured continuing professional development chartered architectural technologist provide architectural design service negotiate construction project manage development project conception completion architectural technologist develops construction project brief design programme advises client method project procurement form contract advises environmental regulatory legal requirement ass environmental impact prepares present design proposal manages coordinate design team monitor compliance design statutory professional requirement undertakes stage inspection administers contract certification manages project handover evaluates advises refurbishment recycling deconstruction building manages health safety carry design stage risk assessments minor group architect town planner surveyor sub major group business medium public service professional major group professional occupation, CHARTERED ARCHITECTURAL TECHNOLOGISTS
entrant usually posse accredited degree equivalent qualification andor postgraduate qualification entrant successfully completed probationary training period professional assessment entry requirement professional body vary chartered surveyor conduct survey related measurement management valuation development land natural resource building type property infrastructure harbour road railway lines building surveyor chartered surveyor hydrographic surveyor land surveyor survey measure describes land surface establish property boundary aid construction cartographic work survey prepares drawing surface hazard feature control extent direction mining survey building determine necessary alteration repair measure shore line elevation underwater contour establishes high low water mark plot shore feature defines navigable channels minor group architect town planner surveyor sub major group business medium public service professional major group professional occupation, CHARTERED SURVEYORS
formal academic entry requirement employer require entrant posse gcsess grades training typically received onthejob supplemented specialised training courses nvqssvqs process operation available level job holder unit group operate plant machinery processing chemical related material chemical heat treatment manufacture synthetic material bleach dye treat textile treat hide skin pelt making fur leather skin products gas producer operator process technician chemical m fr process worker cement m fr process worker nuclear fuel production load prescribed quantity ingredient plant equipment start operational cycle monitor instrument gauge indicating condition affecting peration plant adjusts control necessary prepares dye bleaching water repellent fixing salt chemical solution finish treat textile regulates input polymer melting unit extrudes polymer gather extruded filament feed strand rolling cutting treatment unit produce synthetic fibre operates kiln furnace oven produce charcoal coke carbon product operates machine coat film tape sensitising material impregnate material immersion split mould mica produce asbestos pipe sheet cut trim skin hide pelt remove wool hair flesh waste material wash lime tan dye treat hide making leather skin fur product withdraws sample quality control testing remove regulates discharge batch material completion processing minor group process operative sub major group process plant machine operative major group process plant machine operative, CHEMICAL AND RELATED PROCESS OPERATIVES
entrant usually posse degree entry possible appropriate btecsqa award advanced gnvqgsvq level iii academic qualifications specialist training provided job employer expect entrant gain professional qualifications chemical scientist analyse research physical aspect chemical structure change substance develop chemical technique manufacture modification natural substance processed products analytical chemist chemist development chemist industrial chemist research chemist develops experimental procedure instrument recording testing system conduct experiment identify chemical composition energy chemical change natural substance processed material analysis result experimental data test technique process reliability variety condition develops procedure quality control manufactured products minor group natural social science professional sub major group science research engineering technology professional major group professional occupation, CHEMICAL SCIENTISTS
civil engineer usually posse accredited fouryear degree civil engineering engineering science accredited higher national diploma certificate status ï¿½incorporated engineerï¿½ obtained completion training work associate membership chartered engineering institution status ï¿½chartered engineerï¿½ achieved completion postgraduate training membership chartered engineering institution civil engineer undertake research design direct construction manage operation maintenance civil mining engineering structures building engineer civil engineer professional highway engineer petroleum engineer public health engineer site engineer structural engineer undertakes research advises soil mechanic concrete technology hydraulics water waste water treatment process civil engineering matter determines specifies construction method material quality safety standard ensures equipment operation maintenance comply design specification design foundation earthwork design structure road dam bridge railway hydraulic system sewerage system industrial building plan layout tunnel construction shaft organises plan project arranges work schedule carry inspection work plan maintenance control organises establishes control system monitor operational efficiency performance material systems minor group engineering professional sub major group science research engineering technology professional major group professional occupation, CIVIL ENGINEERS
formal academic entry requirements training provided specialised courses nvqssvqs process operation extraction industry available minimum age limit year underground work coal operative detonate charge use cutting equipment extract coal coal face build dismantle roof wall support underground coal working transport coal material coal face coal miner colliery worker dr iller coal machine portable drill drill hole required depth blasting bursting release gas water infusion insert compact appropriate explosive primer detonator drilling hole detonates charge break loosen coal rock solid formation operates heading ripping coal cuttingloading machine remove material working face monitor conveyor carrying away loose material clean machinery equipment tool maintains refuge hole road airway erects permanent temporary wall roof support dry stone material timber metal withdraws support serviceable material equipment worked abandoned face stows waste area coal ha removed feed hopper stowing machine conveys good material coal face work area load unloads car transfer material underground surface conveyor bunker tub rail trucks minor group plant machine operative sub major group process plant machine operative major group process plant machine operative, COAL MINE OPERATIVES
academic qualification required onthejob training provided job holder unit group operate telecommunication equipment transmit receive signal messages handler emergency service communication operator control room operator emergency service controller taxi service receives message weather report material transmit tune transmitter required channel wavelength relay receives message to person vehicle teleprinter telex keyboard transmit message teleprinter telex record message sent received performs routine test maintenance equipment report fault receives handle incoming emergency service transmitting appropriate services minor group customer service occupation sub major group customer service occupation major group sale customer service occupation, COMMUNICATION OPERATORS
formal academic entry requirement gcsess grade advantageous entry typically apprenticeship traineeship approved constructionskills leading nvqsvq general construction level working construction building trade nec undertake variety task construction alteration maintenance repair building steeple industrial chimney tall structure underwater structure classified minor group construction building trades acoustic ian builder building contractor fencer maintenance manager building structure property developer building construction selects measure cut steel bar rod wire required length position fix reinforcement position tension required hydraulic jack lay brick tile building block construct repair decorate building pours level concrete prepares surface painting plastering mix applies plaster paint installs plumbing fixture woodwork structure fitting set glass frame maintains repair steeple industrial chimney high structure installs replaces lightning conductor erects repair fencing check diving suit equipment descends underwater carry construction maintenance repair task site oil rig harbour bridge etc minor group construction building trade sub major group skilled construction building trade major group skilled trade occupation, CONSTRUCTION AND BUILDING TRADES N.E.C.
formal academic entry requirement gcsess grade advantageous entry typically apprenticeship traineeship approved constructionskills leading nvqsvq level addition significant relevant work experience construction building trade supervisor oversee operation directly supervise coordinate activity worker construction building trades builder s foreman construction foreman construction supervisor maintenance supervisor site foreman directly supervises coordinate activity construction building worker andor subcontractor establishes monitor work schedule meet productivity requirement liaises manager contractor resolve operational problem determines recommends staffing need meet productivity requirement report required managerial staff workrelated matters minor group construction building trade supervisor sub major group skilled construction building trade major group skilled trade occupation, CONSTRUCTION AND BUILDING TRADES SUPERVISORS
formal academic entry requirements training isï¿½typically provided onthejob nvqssvqs general construction operation available level worker unit group operate insulating equipment fix plasterboard dry lining ceiling wall help construct maintain repair demolish building clean resurface eroded stonework lay join examine pipe section drainage gas water similar piping system carry variety construction operative task classified minor group construction operatives asbestos remover cable layer demolition worker dry liner general handyman maintenance man thermal insulation engineer fill machine insulating mixture position hose drill access hole fill cavity coat surface prevent loss absorption heat provide fire protection selects appropriate plasterboard dry lining panel cut required size fix ceiling wall cut shape fit wood lay brick tile clean exterior surface building resurfaces eroded stone brickwork performs task construction alteration repair demolition building selects appropriate asbestos clay concrete plastic metal pipe section lower prepared trench hoisting equipment joint pipe sealing rubber cement lead etc connects piping manhole attache pipe junction required test joint electronic test equipment filling piping water smoke compressed air minor group construction operative sub major group process plant machine operative major group process plant machine operative, CONSTRUCTION OPERATIVES N.E.C.
entrant normally posse degree relevant subject equivalent qualification andor substantial work experience appropriate level continuing professional development available areas job holder unit group manage oversee major construction civil engineering project major building contract quality work safety timeliness completion budget forecast travel pattern develop strategy managing impact trafficrelated demand contract manager building construction project manager building construction transport planner draw budget timescales new construction project based clientsï¿½ requirement brief project team contractor supplier assembles information invoicing end project plan work schedule construction project based prior discussion architect surveyor etc hire supervise site staff establishes temporary site office delivery material regularly inspects monitor progress quality work ensures legal requirement met identifies defect work proposes correction record monitor report progress forecast impact traffic transport new development eg shopping centre ass scheme manage traffic congestion charging parking control examines accident ï¿½blackspotsï¿½ improve road safety writes report funding bid planning authority act expert witness minor group architect town planner surveyor sub major group business medium public service professional major group professional occupation, CONSTRUCTION PROJECT MANAGERS AND RELATED PROFESSIONALS
design development engineer usually posse accredited university degree equivalent qualification route followed period appropriate training relevant experience order qualify membership chartered engineering institution incorporated engineer posse accredited university degree btecsqa award apprenticeship leading nvqsvq level design development engineer conceive engineering design product idea requirement mechanical electrical electronic engineering clinical engineer design engineer development engineer ergo mist research development engineer ass product requirement including cost manufacturing feasibility market requirement prepares working design steam aero turbine marine electrical engine mechanical instrument aircraft missile structure vehicle ship structure plant machinery equipment domestic electrical appliance building system service electronic computing telecommunication equipment arranges construction testing model prototype modifies design necessary produce final design information use preparation layout list etc prepares specification material components minor group engineering professional sub major group science research engineering technology professional major group professional occupation, DESIGN AND DEVELOPMENT ENGINEERS
entrant usually posse gcsess grade btec sqa award appropriate gnvqgsvq levelsh grades training consists course study supervised practical experience draughtspersons prepare technical drawing plan map chart similar items cad operator cartographer design technician draughtsman examines design specification determine general requirementsconsiders suitability different material regard dimension weight calculates likely fatigue stress tolerance bond thread prepares design drawing plan sketch check feasibility construction compliance safety regulation prepares detailed drawing plan chart map include natural feature desired surface finish elevation electrical circuitry detail required arranges completed drawing reproduced use working drawing minor group draught person related architectural technician sub major group science engineering technology associate professional major group associate professional technical occupation, DRAUGHTSPERSONS
formal academic requirement entrant typically posse gcsess grades training usually apprenticeship combine practical work experience technical training nvqs svqs servicing electronic system available level manufacturer run specialised course related products job holder group perform variety electrical electronic occupation classified minor group electrical electronic trades alarm engineer electronics engineer field engineer linesman service engineer examines drawing wiring diagram specification determine appropriate method sequence operation place prepared subassembly position check alignment secures hand tool install xray medical equipment aircraft instrument electronic equipment remove protective sheath wire cable connects brazing soldering crimping applies conductor insulation protective covering examines defect repair electronic related equipment test correct functioning necessary adjustment performs routine servicing task cleaning insulation testing assist erection wood pole steel tower carry overhead line connects installs transformer fuse gear lightning arrestors aircraft warning light cable box equipment connects cable test equipment test balance resistance insulation defect locates repair fault line ancillary equipment minor group electrical electronic trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, ELECTRICAL AND ELECTRONIC TRADES N.E.C.
entrant usually posse gcsess grade intermediate gnvqgsvq level ii btec sqa award nvqssvqs servicing electronic system available level electrical electronics technician perform variety miscellaneous technical support function assist design development installation operation maintenance electrical electronic systems avionics technician electrical technician electronics technician installation engineer electricity supplier plan prepares work test schedule based specification drawingssets equipment undertakes test reading performs calculation record interprets data plan installation method check completed installation safety control undertakes initial running new electrical electronic equipment system diagnosis detects fault implement procedure maintain efficient operation system equipment visit advises client use servicing electrical electronic system equipment minor group science engineering production technician sub major group science engineering technology associate professional major group associate professional technical occupation, ELECTRICAL AND ELECTRONICS TECHNICIANS
electrical engineer usually posse accredited university degree equivalent qualification qualifying period appropriate training experience required membership chartered engineering institution attainable incorporated engineer posse accredited university degree btecsqa award apprenticeship leading nvqsvq level route followed period appropriate training relevant experience electrical engineer undertake research design direct construction manage operation maintenance electrical equipment power station building control system electrical product systems electrical engineer professional electrical surveyor equipment engineer power engineer signal engineer railway supervises control monitor operation electrical generation transmission distribution system determines specifies manufacturing method electrical system ensures manufacture operation maintenance comply design specification contractual arrangement organises establishes control system monitor performance safety electrical assembly systems minor group engineering professional sub major group science research engineering technology professional major group professional occupation, ELECTRICAL ENGINEERS
academic qualification required gcsess grade equivalent qualification advantage nvqssvqs servicing electronic system available level apprenticeship combining practical work experience technical training available level entrant good eyesight normal colour vision electrician electrical fitter assemble manufacture electrical electronic equipment install maintain repair electrical plant machinery appliance wiring electrical contractor electrical engineer electrical fitter electrician examines drawing specification wiring diagram determine method sequence operation selects cut lay wire connects socket plug terminal crimping soldering brazing bolting cut bend installs electrical conduit assembles subassembly hand tool brazing riveting welding installs electrical plant machinery electrical fixture appliance fuse box generator light socket etc examines electrical plant machinery domestic appliance electrical assembly fault test equipment replaces worn faulty wiring minor group electrical electronic trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, ELECTRICIANS AND ELECTRICAL FITTERS
electronics engineer usually posse accredited university degree equivalent qualification qualifying period appropriate training experience required membership chartered engineering institution attainable incorporated engineer posse accredited university degree btecsqa award apprenticeship leading nvqsvq level route followed period appropriate training relevant experience electronics engineer undertake research design direct construction manage operation maintenance electronic motor communication system microwave system electronic equipment avionics engineer broadcasting engineer professional electronics engineer professional microwave engineer telecommunication engineer professional undertakes research advises aspect telecommunication equipment radar telemetry remote control system data processing equipment microwave electronic equipment determines specifies appropriate production andor installation method quality safety standard organises establishes control system monitor performance evaluate design test diagnosis fault undertakes repair electronic equipment minor group engineering professional sub major group science research engineering technology professional major group professional occupation, ELECTRONICS ENGINEERS
formal academic entry requirements training typically provided onthejob nvqs svqs product coating available level electroplater operate continuous plant coat metal article electrolytically form metal article electro vacuumdeposition dip spray article metal plastic powder material treat article chemically produce desired surface finishes electroplate r galvani ser metal sprayer powder coat er clean rinse article preshaped form coated mask area covered wax resistant adhesive tape material fit appropriate nozzle spray gun load spray gun appropriate coating material prepares electrolytic solution set machine plant equipment control regulate electric current temperature molten zinc tin chromium copper nonferrous metal immerses article plating solution spray article required thickness coating ha deposited remove article solution centrifuge necessary remove excess molten metal cooling minor group process operative sub major group process plant machine operative major group process plant machine operative, ELECTROPLATERS
academic qualification required training typically provided onthejob nvqssvqs variety construction craft occupation available level job holder unit group perform variety general labouring construction duty assist building civil engineering related trade worker performance tasks electrician s mate building construction ground worker building construction hod carrier labourer building construction conveys block brick stone mortar roofing felt slate wood building material work area assist erection ladder scaffolding work platform rigging cradle hoisting equipment attaching sling hook guide rope mix mortar grouting material cement screed plaster prepares adhesive primer paint similar construction material undertakes basic decorating painting plumbing maintenance repair task clean equipment tool clear work area assist building woodworking trade worker directed performs general labouring task digging trench foundation removing wall covering preparing surface cleaning sanding filling etc cover ceiling floor wall exposed surface boiler pipe plant insulating material heat break block asphalt bitumen tar stir melting mixture add aggregate required pours mixture bucket measure fix timber structure support excavation cable rail signal telecommunication equipment excavates construct maintains land drainage system prepares graf burial operates clean lubricates valve sluice remove weed dead animal debris waterway carry minor repair bank footbridge help diver diving suit maintains communication submerged diver check equipment time spent water minor group elementary construction occupation sub major group elementary trade related occupation major group elementary occupation, ELEMENTARY CONSTRUCTION OCCUPATIONS
academic qualification required onthe job training provided nvqssvqs available areas jobholder unit group assist work machine operative perform variety manual task foundry engineering allied trade process plant operation classified minor group elementary process plant occupations factory worker fitter s mate labourer engineering material handler assist operation furnace preparation casting assist setting attachment plant machinery operates saw shear equipment conveys good material equipment etc work area assist setting machinery equipment prepares tool lamp equipment use assist operative mark bend drill galvanise coat machine metal load unloads vehicle truck trolley remove finished piece work area paint fix identification label marker product container clear machine blockage clean machinery equipment tool work area tidy clear waste spillage performs variety manual task relation operation coke oven boiler blast furnaces minor group elementary process plant occupation sub major group elementary trade related occupation major group elementary occupation, ELEMENTARY PROCESS PLANT OCCUPATIONS N.E.C.
formal academic entry requirements training typically apprenticeship incorporating technical training practical experience nvqs svqs maintaining electricity generating system available level job holder unit group operate boiler produce hot water steam attend operate compressor turbine electrical substation switchboard auxiliary plant machinery fuel nuclear reactor drive blower pump electricity generator equipment boiler man control room operator electric hydraulic engine man plant operator electricity supplier power station operator determines job requirement switchboard attendant operating instruction open valve operates control regulate flow fuel boiler generating equipment operates remote control panel load fuel remove discharged fuel element nuclear reactor adjusts control maintain correct running speed turbine generator monitor temperature pressure control boiler record instrument reading periodically shuts turbinegenerator boiler demand decrease carry minor maintenance task prescribed test report faults minor group plant machine operative sub major group process plant machine operative major group process plant machine operative, ENERGY PLANT OPERATIVES
